No Individu;Nom;Prenom;Adresse;Telephone;Couriel
I1;LAURENT;Axel;33 allée des marrons 26000 Tours;610474664;laurent.axel@gmail.com
I2;BERNARD;Arthur;148 avenue des feuilles 72000 Caen;762571813;bernard.arthur@gmail.com
I3;THOMAS;Evan;187 rue des sapins 42000 Bordeaux;649918602;thomas.evan@gmail.com
I4;PETIT;Adrien;58 avenue Henry 84000 Limoges;783360387;petit.adrien@gmail.com
I5;ROBERT;Alexis;158 chemin Victor Hugo 60000 Bretagne;765417995;robert.alexis@gmail.com
I6;RICHARD;Antoine;107 avenue des chênes 18000 Genevres;635202040;richard.antoine@gmail.com
I7;DURAND;Adam;13 avenue des petits père 4000 Cannes;708551495;durand.adam@gmail.com
I8;MOREAU;Alexandre;26 avenue stalingrad 87000 Paris;606024830;moreau.alexandre@gmail.com
I9;LAURENT;Baptiste;169 avenue des écureils 42000 Paris;722031941;laurent.baptiste@gmail.com
I10;SIMON;Enzo;153 avenue Paul Bert 44000 Paris;749252102;simon.enzo@gmail.com
I11;MICHEL;Julien;68 rue des champs 49000 Paris;611387683;michel.julien@gmail.com
I12;LEFEBVRE;Leo;98 avenue Paris 90000 Bordeaux;666751249;lefebvre.leo@gmail.com
I13;LEROY;Lucas;174 allée de la ruche 35000 Paris;777574465;leroy.lucas@gmail.com
I14;ROUX;Matteo;155 avenue Georges Peintre 39000 Paris;657970188;roux.matteo@gmail.com
I15;GIRARD;Mael;20 avenue du bois 15000 Bordeaux;776825441;girard.mael@gmail.com
I16;FOURNIER;Maxime;30 rue du moulin 60000 Normandie;657048783;fournier.maxime@gmail.com
I17;LAMBERT;Gabriel;100 avenue de  la biche 61000 Lilles;687543739;lambert.gabriel@gmail.com
I18;FONTAINE;Raphael;151 avenue du lycée 11000 Strasbourg;623236951;fontaine.raphael@gmail.com
I19;BERTRAND;Jules;4 avenue de la fresnaie 57000 Courbevoie;625389042;bertrand.jules@gmail.com
